Year,lung
1990,27.30281055
1991,27.28281744
1992,27.3293372
1993,27.64684628
1994,27.65114748
1995,27.61500918
1996,27.37001086
1997,27.13260574
1998,27.03590109
1999,27.12415449
2000,27.19816425
2001,27.10439385
2002,27.17887074
2003,27.17481037
2004,27.1113517
2005,27.11815187
2006,26.78684067
2007,26.73892489
2008,26.82758888
2009,26.78866648
2010,26.69960606
2011,26.49172078
2012,26.22224564
2013,25.92042647
2014,25.66100956
2015,25.51442906
2016,25.29645576
2017,25.10122755
2018,25.12083508
2019,25.18152379
